"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","ShowYourWork Init","","","1693071536607",,"1.1.4 for 2021-2022 @t1",,"Init",,,,,
"File.Edit","# Anthony Wood
# CS1400 - 001
# Assignment ??","","0","1693071553345","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","
","","45","1693071553915","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1693072118694","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","?","44","1693072118705","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119183","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","?","43","1693072119184","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119215","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","42","1693072119217","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119247","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","t","41","1693072119249","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119281","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","n","40","1693072119302","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119317","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","39","1693072119318","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119344","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","m","38","1693072119345","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119376","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","n","37","1693072119377","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119410","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","g","36","1693072119412","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119443","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","i","35","1693072119444","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119474","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","s","34","1693072119476","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119506","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","s","33","1693072119509","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119538","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","A","32","1693072119540","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119571","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","31","1693072119573","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119603","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","#","30","1693072119604","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119637","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","
","30","1693072119640","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119669","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","1","28","1693072119671","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072119941","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","0","27","1693072119942","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1693072120093","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","0","26","1693072120094","Day1_Band_Name_Generator.py","1.1.4 for 2021-2022 @t1","Delete",,,,,,
